           0.2         -1.02   1.82042e-08
           0.3      -1.01995   2.67319e-06
           0.4      -1.01782   4.35905e-05
           0.5      -1.00355    6.9126e-05
           0.6     -0.964727   9.01145e-05
           0.7     -0.912537   6.53404e-05
           0.8     -0.861299   5.21924e-05
           0.9     -0.812891   4.33479e-05
             1      -0.76731   3.45222e-05
           1.1     -0.724948   3.03137e-05
           1.2     -0.685438    3.0618e-05
           1.3     -0.649002    2.7482e-05
           1.4       -0.6154   2.49899e-05
           1.5     -0.584453   2.54049e-05
           1.6     -0.555992   1.97764e-05
           1.7     -0.529846   2.24126e-05
           1.8     -0.505724    2.2223e-05
           1.9     -0.483482   2.29742e-05
             2     -0.462943   2.19192e-05
           2.1     -0.443895   2.11506e-05
           2.2     -0.426278   2.01313e-05
           2.3     -0.409878   2.01572e-05
           2.4     -0.394657   1.96205e-05
           2.5     -0.380444   1.90065e-05
           2.6     -0.367184   1.77392e-05
           2.7     -0.354758   2.19538e-05
           2.8     -0.343097   2.01185e-05
           2.9     -0.332142   2.01248e-05
             3     -0.321864   1.90716e-05
