           0.2             1   1.82042e-08
           0.3      0.999824   2.67319e-06
           0.4      0.976856   4.35905e-05
           0.5      0.887308    6.9126e-05
           0.6      0.674239   9.01145e-05
           0.7      0.443962   6.53404e-05
           0.8      0.291103   5.21924e-05
           0.9      0.201015   4.33479e-05
             1      0.145693   3.45222e-05
           1.1      0.111691   3.03137e-05
           1.2     0.0877003    3.0618e-05
           1.3      0.071428    2.7482e-05
           1.4     0.0595958   2.49899e-05
           1.5     0.0504911   2.54049e-05
           1.6     0.0434094   1.97764e-05
           1.7     0.0381397   2.24126e-05
           1.8     0.0337826    2.2223e-05
           1.9       0.03016   2.29742e-05
             2     0.0272349   2.19192e-05
           2.1     0.0246626   2.11506e-05
           2.2     0.0226704   2.01313e-05
           2.3     0.0206688   2.01572e-05
           2.4     0.0192002   1.96205e-05
           2.5     0.0177542   1.90065e-05
           2.6     0.0164676   1.77392e-05
           2.7     0.0154593   2.19538e-05
           2.8     0.0146521   2.01185e-05
           2.9     0.0137993   2.01248e-05
             3     0.0130778   1.90716e-05
