           0.2      0.999998   2.26965e-07
           0.3      0.999799   2.30313e-06
           0.4      0.979313    3.1667e-05
           0.5       0.88886   4.76541e-05
           0.6      0.673256   6.31563e-05
           0.7      0.444575   5.45725e-05
           0.8      0.291841   4.21552e-05
           0.9      0.201464   3.65363e-05
             1      0.145741   3.01345e-05
           1.1      0.111348   2.97203e-05
           1.2     0.0880278   2.38465e-05
           1.3     0.0716101   2.51083e-05
           1.4     0.0594194   2.09428e-05
           1.5     0.0505563   2.29661e-05
           1.6     0.0436358   2.09396e-05
           1.7     0.0381575   2.07099e-05
           1.8     0.0338323   2.02501e-05
           1.9     0.0301452   1.85863e-05
             2     0.0271998   1.90287e-05
           2.1     0.0246561   1.80906e-05
           2.2     0.0226516   1.95962e-05
           2.3     0.0206752   1.80622e-05
           2.4     0.0192748   1.96867e-05
           2.5     0.0177707   1.82181e-05
           2.6     0.0166318    1.8253e-05
           2.7     0.0155413   1.84909e-05
           2.8     0.0145923     1.676e-05
           2.9     0.0137642   1.85974e-05
             3     0.0130409   1.82989e-05
