-1.26041	-0.00719482
-0.328027	-1.07521
-0.201893	-0.908246
-0.410007	-0.989425
0.0282025	-0.973217
-0.528156	-0.858378
-0.667495	-0.568278
-0.756662	-0.587449
-0.814448	-0.607427
-0.818555	-0.613469
-0.839697	-0.643331
-0.712987	-0.653888
-0.735755	-0.608161
-0.763647	-0.678447
-0.879529	-0.603139
-0.789585	-0.608538
-0.824348	-0.632546
-0.830806	-0.624313
-0.751089	-0.626139
-0.758395	-0.612568
-0.785066	-0.609866
-0.793759	-0.622941
-0.777933	-0.622629
-0.767508	-0.623777
-0.8072	-0.608996
-0.802394	-0.629682
-0.794213	-0.611072
-0.788514	-0.66668
-0.772376	-0.618165
-0.846532	-0.636455
-0.768921	-0.593924
-0.730984	-0.583195
-0.835164	-0.618987
-0.833049	-0.608578
-0.794416	-0.609211
-0.799166	-0.630553
-0.751855	-0.610551
-0.772159	-0.640277
-0.81316	-0.616589
-0.839249	-0.620468
-0.748325	-0.627305
-0.79996	-0.603895
-0.828909	-0.638731
-0.767849	-0.623576
-0.741764	-0.637634
-0.778313	-0.618578
-0.808783	-0.619773
-0.792681	-0.622667
-0.798847	-0.651913
-0.812012	-0.620319
-0.824757	-0.609164
-0.795365	-0.59014
-0.761012	-0.624529
-0.740266	-0.633719
-0.816899	-0.625237
-0.820303	-0.61088
-0.818768	-0.610107
-0.788752	-0.632231
-0.780493	-0.603058
-0.791207	-0.602322
-0.807426	-0.620108
-0.822915	-0.621232
-0.8401	-0.629729
-0.814036	-0.631565
-0.822734	-0.602362
-0.781366	-0.639486
-0.799782	-0.629248
-0.79174	-0.629297
-0.800287	-0.611102
-0.811249	-0.605316
-0.793766	-0.597302
-0.761396	-0.628816
-0.807687	-0.620125
-0.813883	-0.627281
-0.811976	-0.618382
-0.747755	-0.607423
-0.755423	-0.609347
-0.793386	-0.628604
-0.822848	-0.607062
-0.797223	-0.607447
-0.811019	-0.609379
-0.775041	-0.637611
-0.802743	-0.650633
-0.811724	-0.624887
-0.801027	-0.595261
-0.779307	-0.622262
-0.793474	-0.602992
